Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period
STXUSDT,Short,1.969 USDT,"158,686","-312,502.57 USDT","-4,474.56 USDT",-1.43 %,01/08/2024 14:56 UTC,01/08/2024 21:32 UTC,1.53 % 1.94 USDT,-1.47 % 2.00 USDT,2024-01-08 14:56:00,2024-01-08 21:32:00,2024-01-08 23:56:00,2024-01-09 06:32:00,2024-01-08 23:56 KST,2024-01-09 06:32 KST,4474.56,-1,-4474.56,-312502.57,312502.57,420058.4699999995,1
RNDRUSDT,Long,3.948 USDT,"12,675.8","50,040.98 USDT",543.49 USDT,1.09 %,01/08/2024 15:34 UTC,01/08/2024 18:41 UTC,3.41 % 4.08 USDT,-1.87 % 3.87 USDT,2024-01-08 15:34:00,2024-01-08 18:41:00,2024-01-09 00:34:00,2024-01-09 03:41:00,2024-01-09 00:34 KST,2024-01-09 03:41 KST,543.49,1,543.49,50040.98,50040.98,420601.9599999995,1
SOLUSDT,Short,98.902 USDT,330,"-32,637.81 USDT",582.99 USDT,1.79 %,01/08/2024 18:03 UTC,01/08/2024 21:32 UTC,2.10 % 96.87 USDT,-0.71 % 99.61 USDT,2024-01-08 18:03:00,2024-01-08 21:32:00,2024-01-09 03:03:00,2024-01-09 06:32:00,2024-01-09 03:03 KST,2024-01-09 06:32 KST,582.99,1,582.99,-32637.81,32637.81,421184.9499999995,1
ARBUSDT,Short,1.795 USDT,"13,924.7","24,994.73 USDT",-519.34 USDT,-2.08 %,01/08/2024 18:10 UTC,01/08/2024 18:36 UTC,,-1.87 % 1.83 USDT,2024-01-08 18:10:00,2024-01-08 18:36:00,2024-01-09 03:10:00,2024-01-09 03:36:00,2024-01-09 03:10 KST,2024-01-09 03:36 KST,519.34,-1,-519.34,24994.73,24994.73,420665.60999999946,1
LDOUSDT,Short,3.012 USDT,"21,605","-65,083.17 USDT",-933.75 USDT,-1.43 %,01/08/2024 18:10 UTC,01/08/2024 19:24 UTC,,-2.06 % 3.08 USDT,2024-01-08 18:10:00,2024-01-08 19:24:00,2024-01-09 03:10:00,2024-01-09 04:24:00,2024-01-09 03:10 KST,2024-01-09 04:24 KST,933.75,-1,-933.75,-65083.17,65083.17,419731.85999999946,1
OPUSDT,Short,3.327 USDT,"7,509.5","24,987.44 USDT",-499.93 USDT,-2.00 %,01/08/2024 18:10 UTC,01/08/2024 18:34 UTC,,-1.78 % 3.39 USDT,2024-01-08 18:10:00,2024-01-08 18:34:00,2024-01-09 03:10:00,2024-01-09 03:34:00,2024-01-09 03:10 KST,2024-01-09 03:34 KST,499.93,-1,-499.93,24987.44,24987.44,419231.92999999947,1
ORDIUSDT,Long,73.509 USDT,421.1,"30,954.66 USDT",467.21 USDT,1.51 %,01/08/2024 18:11 UTC,01/08/2024 18:41 UTC,1.83 % 74.86 USDT,-0.29 % 73.30 USDT,2024-01-08 18:11:00,2024-01-08 18:41:00,2024-01-09 03:11:00,2024-01-09 03:41:00,2024-01-09 03:11 KST,2024-01-09 03:41 KST,467.21,1,467.21,30954.66,30954.66,419699.1399999995,1
AVAXUSDT,Short,35.223 USDT,"1,303","-45,895.79 USDT",-237.20 USDT,-0.52 %,01/08/2024 18:11 UTC,01/08/2024 18:18 UTC,,-0.30 % 35.33 USDT,2024-01-08 18:11:00,2024-01-08 18:18:00,2024-01-09 03:11:00,2024-01-09 03:18:00,2024-01-09 03:11 KST,2024-01-09 03:18 KST,237.2,-1,-237.2,-45895.79,45895.79,419461.9399999995,1
AVAXUSDT,Short,36.175 USDT,550,"-19,896.35 USDT",178.52 USDT,0.90 %,01/08/2024 18:23 UTC,01/08/2024 21:32 UTC,1.59 % 35.61 USDT,-0.27 % 36.27 USDT,2024-01-08 18:23:00,2024-01-08 21:32:00,2024-01-09 03:23:00,2024-01-09 06:32:00,2024-01-09 03:23 KST,2024-01-09 06:32 KST,178.52,1,178.52,-19896.35,19896.35,419640.4599999995,1
ARBUSDT,Short,1.811 USDT,"22,078.8","-39,991.41 USDT",-500.98 USDT,-1.25 %,01/08/2024 18:44 UTC,01/08/2024 19:24 UTC,0.82 % 1.80 USDT,-0.52 % 1.82 USDT,2024-01-08 18:44:00,2024-01-08 19:24:00,2024-01-09 03:44:00,2024-01-09 04:24:00,2024-01-09 03:44 KST,2024-01-09 04:24 KST,500.98,-1,-500.98,-39991.41,39991.41,419139.4799999995,1
OPUSDT,Short,3.378 USDT,"11,837.7","-39,983.68 USDT",-208.07 USDT,-0.52 %,01/08/2024 18:44 UTC,01/08/2024 19:24 UTC,1.57 % 3.33 USDT,,2024-01-08 18:44:00,2024-01-08 19:24:00,2024-01-09 03:44:00,2024-01-09 04:24:00,2024-01-09 03:44 KST,2024-01-09 04:24 KST,208.07,-1,-208.07,-39983.68,39983.68,418931.4099999995,1
1000BONKUSDT,Long,0.011 USDT,"360,390","3,991.34 USDT",256.98 USDT,6.44 %,01/08/2024 18:48 UTC,01/08/2024 19:17 UTC,6.95 % 0.01 USDT,-0.42 % 0.01 USDT,2024-01-08 18:48:00,2024-01-08 19:17:00,2024-01-09 03:48:00,2024-01-09 04:17:00,2024-01-09 03:48 KST,2024-01-09 04:17 KST,256.98,1,256.98,3991.34,3991.34,419188.3899999995,1
INJUSDT,Short,42.139 USDT,"3,580.3","-150,870.88 USDT","-2,098.84 USDT",-1.39 %,01/08/2024 18:53 UTC,01/08/2024 21:32 UTC,1.54 % 41.50 USDT,-1.41 % 42.74 USDT,2024-01-08 18:53:00,2024-01-08 21:32:00,2024-01-09 03:53:00,2024-01-09 06:32:00,2024-01-09 03:53 KST,2024-01-09 06:32 KST,2098.84,-1,-2098.84,-150870.88,150870.88,417089.54999999946,1
ETHUSDT,Long,"2,328.109 USDT",10.295,"23,967.88 USDT",181.07 USDT,0.76 %,01/08/2024 19:00 UTC,01/08/2024 20:21 UTC,"1.35 % 2,359 USDT","-0.22 % 2,323 USDT",2024-01-08 19:00:00,2024-01-08 20:21:00,2024-01-09 04:00:00,2024-01-09 05:21:00,2024-01-09 04:00 KST,2024-01-09 05:21 KST,181.07,1,181.07,23967.88,23967.88,417270.6199999995,1
1000BONKUSDT,Long,0.012 USDT,"338,378","3,982.35 USDT",333.20 USDT,8.37 %,01/08/2024 19:17 UTC,01/08/2024 19:50 UTC,10.21 % 0.01 USDT,-0.57 % 0.01 USDT,2024-01-08 19:17:00,2024-01-08 19:50:00,2024-01-09 04:17:00,2024-01-09 04:50:00,2024-01-09 04:17 KST,2024-01-09 04:50 KST,333.2,1,333.2,3982.35,3982.35,417603.8199999995,1
