symbol,liquidity_status,reasons,volume_24h,spread_percent,depth_usd,last_price,timestamp,trade_count,avg_position_size_usdt,max_position_size_usdt,total_pnl,avg_pnl_percent
AIUSDT,low,"24시간 거래량(4,410,204.50 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(19,051.64 USD)가 기준치(500,000 USD) 미만",4410204.50129,0.03177377075223171,19051.64435,0.12584,2025-04-14 21:16:52,2,175180.79,200182.79,-1517.5600000000004,-0.82
XVGUSDT,low,"24시간 거래량(4,267,153.88 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(6,844.30 USD)가 기준치(500,000 USD) 미만",4267153.8767722,0.025443526935432163,6844.3037043,0.0043224,2025-04-14 21:16:53,3,158718.25666666665,300848.23,90995.0,20.62333333333333
APEUSDT,low,"주문장 깊이(365,070.81 USD)가 기준치(500,000 USD) 미만",17958300.6314,0.023169601482851944,365070.8149,0.4316,2025-04-14 21:16:53,2,175570.96,250328.81,-2087.67,-0.8250000000000001
BLURUSDT,low,"24시간 거래량(8,788,470.67 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(47,457.38 USD)가 기준치(500,000 USD) 미만",8788470.6745,0.020124773596303203,47457.38427,0.09936,2025-04-14 21:16:54,1,100115.23,100115.23,6439.0,6.43
IOTXUSDT,low,"24시간 거래량(5,493,689.68 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(171,804.59 USD)가 기준치(500,000 USD) 미만",5493689.67848,0.10845986984815176,171804.58927,0.01845,2025-04-14 21:16:55,1,125227.15,125227.15,-1297.02,-1.04
RSRUSDT,low,"주문장 깊이(128,872.64 USD)가 기준치(500,000 USD) 미만",18093230.327656,0.026483050847461144,128872.640515,0.007556,2025-04-14 21:16:55,1,99744.96,99744.96,13249.0,13.28
RIFUSDT,low,"24시간 거래량(2,486,514.31 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(32,624.39 USD)가 기준치(500,000 USD) 미만",2486514.31077,0.05171967933798599,32624.38712,0.03868,2025-04-14 21:16:56,1,151092.99,151092.99,-7481.59,-4.95
BATUSDT,low,"24시간 거래량(6,267,387.34 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(298,638.89 USD)가 기준치(500,000 USD) 미만",6267387.3372,0.07788161993770776,298638.88758,0.1284,2025-04-14 21:16:57,1,24916.4,24916.4,-28.65,-0.11
SUSHIUSDT,low,"주문장 깊이(98,343.95 USD)가 기준치(500,000 USD) 미만",10806285.5045,0.0171880371261583,98343.9527,0.5821,2025-04-14 21:16:57,1,19987.91,19987.91,-278.77,-1.39
SANTOSUSDT,low,"24시간 거래량(1,322,503.53 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(77,656.86 USD)가 기준치(500,000 USD) 미만",1322503.5283,0.04066693777958072,77656.8622,2.459,2025-04-14 21:16:58,1,250610.31,250610.31,4769.0,1.9
MEMEUSDT,low,"24시간 거래량(7,236,485.25 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(279,676.39 USD)가 기준치(500,000 USD) 미만",7236485.251037,0.06285355122565259,279676.387854,0.001592,2025-04-14 21:16:59,1,115092.48,115092.48,-7063.87,-6.14
CHILLGUYUSDT,low,"24시간 거래량(9,469,813.60 USD)이 기준치(10,000,000 USD) 미만, 스프레드(0.48%)가 기준치(0.30%) 초과",9469813.597,0.48076923076922784,546192.2215,0.0208,2025-04-14 21:16:59,2,87650.875,100165.74,-1611.62,-0.75
COWUSDT,low,"주문장 깊이(210,711.85 USD)가 기준치(500,000 USD) 미만",142296217.6182,0.03422313483914749,210711.8493,0.2922,2025-04-14 21:17:00,7,243819.09285714288,450355.25,85665.69,5.36
DARUSDT,low,"24시간 거래량(8,852,777.73 USD)이 기준치(10,000,000 USD) 미만, 주문장 깊이(0.00 USD)가 기준치(500,000 USD) 미만",8852777.7294,,0.0,0.1425,2025-04-14 21:17:01,1,150342.28,150342.28,-8133.36,-5.41
1000CHEEMSUSDT,low,"주문장 깊이(20,128.30 USD)가 기준치(500,000 USD) 미만",10733275.073237,0.006798096532959878,20128.299242400004,0.0014711,2025-04-14 21:17:01,1,60084.55,60084.55,-58.61,-0.1
