Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
ARUSDT,Long,19.327 USDT,"36,071.1","697,146.15 USDT","130,464 USDT",18.71 %,09/10/2024 23:44 UTC,09/27/2024 13:46 UTC,,
SCAUSDT,Long,0.173 USDT,"249,157.3","43,178.96 USDT","44,288 USDT",102.57 %,09/03/2024 13:09 UTC,09/19/2024 12:06 UTC,,
ONDOUSDT,Short,0.705 USDT,"354,140","249,739.53 USDT","9,650 USDT",3.86 %,08/26/2024 17:05 UTC,08/28/2024 12:01 UTC,,
MKRUSDT,Long,"2,126.9 USDT",117.766,"250,476.51 USDT","-26,477.62 USDT",-10.57 %,08/26/2024 17:05 UTC,08/28/2024 12:00 UTC,,
1000FLOKIUSDT,Short,0.136 USDT,"368,232","49,961.72 USDT",-544.20 USDT,-1.09 %,08/22/2024 15:49 UTC,08/22/2024 21:32 UTC,,
POPCATUSDT,Short,0.556 USDT,"44,890","24,958.84 USDT","-1,236.98 USDT",-4.96 %,08/22/2024 15:49 UTC,08/22/2024 16:41 UTC,,
ARUSDT,Long,21.003 USDT,"2,384.4","50,079.55 USDT",529.04 USDT,1.06 %,08/19/2024 09:18 UTC,08/20/2024 01:44 UTC,,
DEGENUSDT,Long,0.005 USDT,"456,830","2,275.01 USDT",-14.10 USDT,-0.62 %,08/15/2024 15:50 UTC,08/15/2024 16:28 UTC,,
ARUSDT,Long,22.059 USDT,"6,808.7","150,193.11 USDT",601.67 USDT,0.40 %,08/15/2024 15:46 UTC,08/15/2024 16:03 UTC,,
FILUSDT,Short,3.649 USDT,"41,083.9","149,915.15 USDT",-24.78 USDT,-0.02 %,08/15/2024 15:47 UTC,08/15/2024 16:03 UTC,,
FTMUSDT,Short,0.393 USDT,"126,965","49,948.03 USDT",-138.97 USDT,-0.28 %,08/15/2024 15:47 UTC,08/15/2024 15:47 UTC,,
BTCUSDT,Long,"59,732 USDT",0.002,119.46 USDT,-0.70 USDT,-0.58 %,08/15/2024 15:21 UTC,08/15/2024 15:40 UTC,,
BTCUSDT,Long,"66,469.8 USDT",0.002,132.94 USDT,0.41 USDT,0.31 %,07/24/2024 13:19 UTC,07/24/2024 13:23 UTC,,
