time,capital
2024-10-05 14:13:00,117322.64347064897
2024-10-06 02:08:00,117322.64347064897
2024-10-06 02:10:00,117273.54990428226
2024-10-06 20:32:00,117273.54990428226
2024-10-06 23:35:00,117273.54990428226
2024-10-07 06:49:00,117327.3070915285
2024-10-07 13:15:00,117327.3070915285
2024-10-07 17:11:00,117327.3070915285
2024-10-07 17:12:00,117327.3070915285
2024-10-07 19:25:00,117062.91295638002
2024-10-07 19:27:00,116992.55194834156
2024-10-08 00:24:00,116992.55194834156
2024-10-08 19:15:00,116992.55194834156
2024-10-09 09:35:00,117181.01263395784
2024-10-10 05:41:00,117181.01263395784
2024-10-10 09:52:00,117181.01263395784
2024-10-11 03:04:00,117181.01263395784
2024-10-11 19:06:00,117181.01263395784
2024-10-11 19:07:00,117181.01263395784
2024-10-11 19:08:00,117181.01263395784
2024-10-12 09:34:00,117584.02128767248
2024-10-14 18:46:00,118087.02076065434
2024-10-14 21:39:00,118087.02076065434
2024-10-15 04:47:00,118794.41326804527
2024-10-15 08:28:00,119808.29364252448
2024-10-15 09:14:00,121269.88100774967
2024-10-15 09:16:00,122045.87931367384
2024-10-15 20:28:00,122045.8176811231
2024-10-15 20:32:00,122143.41058536911
2024-10-16 00:05:00,124515.78374219374
2024-10-20 23:06:00,124566.7024654894
2024-10-25 01:24:00,124566.7024654894
2024-10-25 17:55:00,136590.44912537976
2024-10-25 17:59:00,136590.44912537976
2024-10-25 23:39:00,136591.6429887299
2024-10-26 03:05:00,136591.6429887299
2024-10-26 04:29:00,136776.26721159267
2024-10-26 14:32:00,136776.26721159267
2024-10-26 14:42:00,136776.26721159267
2024-10-26 14:44:00,136776.26721159267
2024-10-26 19:28:00,136776.26721159267
2024-10-26 20:04:00,136776.26721159267
2024-10-28 06:17:00,136973.9053402861
2024-10-28 06:18:00,137338.32162162615
2024-10-28 06:19:00,138500.74317667843
2024-10-28 06:21:00,138475.2206239604
2024-10-29 16:27:00,138475.2206239604
2024-10-29 18:29:00,140008.84493584573
2024-10-29 18:30:00,140008.84493584573
2024-10-30 01:56:00,140008.84493584573
2024-11-01 01:07:00,140008.84493584573
2024-11-02 05:09:00,140008.84493584573
2024-11-04 00:35:00,141623.64795127363
2024-11-04 21:12:00,141623.64795127363
2024-11-04 22:58:00,141554.74421133407
2024-11-05 00:53:00,141554.74421133407
2024-11-05 14:26:00,141554.74421133407
2024-11-06 04:59:00,141554.74421133407
2024-11-06 06:11:00,141699.4520075962
2024-11-06 08:55:00,141804.74104371297
2024-11-06 17:23:00,141804.74104371297
2024-11-06 17:56:00,141883.33100749276
2024-11-07 04:38:00,141883.33100749276
2024-11-07 15:07:00,141883.33100749276
2024-11-07 15:08:00,141883.33100749276
2024-11-07 15:10:00,141883.33100749276
2024-11-07 15:17:00,145672.45856455588
2024-11-09 16:53:00,145672.45856455588
2024-11-10 20:24:00,145672.45856455588
2024-11-10 22:50:00,145672.45856455588
2024-11-11 15:04:00,145672.45856455588
2024-11-12 22:21:00,145665.2325024675
2024-11-13 01:15:00,144845.83639786358
2024-11-13 01:17:00,144363.58978782583
2024-11-13 01:18:00,144280.32361690543
2024-11-13 01:21:00,144098.08095791368
2024-11-13 07:59:00,144098.08095791368
2024-11-14 11:42:00,144850.43580146824
2024-11-14 23:41:00,145148.68328562527
2024-11-15 02:11:00,145148.68328562527
2024-11-15 10:10:00,145148.68328562527
2024-11-16 00:08:00,153463.25850979312
2024-11-16 17:06:00,153423.3084366899
2024-11-18 11:28:00,153423.3084366899
2024-11-18 14:40:00,153423.3084366899
2024-11-18 18:52:00,153423.3084366899
2024-11-18 22:59:00,153169.77493920553
2024-11-19 01:02:00,155081.77428316127
2024-11-19 01:11:00,155081.77428316127
2024-11-19 01:47:00,155129.09900363756
2024-11-19 07:13:00,155784.55688033046
2024-11-19 08:01:00,155784.55688033046
2024-11-19 09:23:00,155891.58085367994
2024-11-20 13:07:00,155891.58085367994
2024-11-21 10:43:00,155891.58085367994
2024-11-21 21:33:00,155891.58085367994
2024-11-21 21:34:00,155891.58085367994
2024-11-22 00:11:00,155859.2537181507
