Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
BNBUSDT,Long,623.146 USDT,481.1,"299,795.54 USDT","2,525 USDT",0.84 %,03/17/2025 02:48 UTC,03/17/2025 03:28 UTC,0.98 % 629.26 USDT,-0.51 % 619.97 USDT,2025-03-17 02:48:00,2025-03-17 03:28:00,2025-03-17 11:48:00,2025-03-17 12:28:00,2025-03-17 11:48 KST,2025-03-17 12:28 KST,2525.0,1,2525.0,299795.54,299795.54,482069.2399999999,482069.2399999999
DRIFTUSDT,Long,0.67 USDT,"244,461","163,768.50 USDT",-985.50 USDT,-0.60 %,03/17/2025 02:51 UTC,03/17/2025 11:11 UTC,5.86 % 0.71 USDT,-2.56 % 0.65 USDT,2025-03-17 02:51:00,2025-03-17 11:11:00,2025-03-17 11:51:00,2025-03-17 20:11:00,2025-03-17 11:51 KST,2025-03-17 20:11 KST,985.5,-1,-985.5,163768.5,163768.5,481083.7399999999,481083.7399999999
VANAUSDT,Long,6.906 USDT,"4,342","29,985.51 USDT",-425.67 USDT,-1.42 %,03/17/2025 02:52 UTC,03/17/2025 03:28 UTC,1.59 % 7.02 USDT,-1.97 % 6.77 USDT,2025-03-17 02:52:00,2025-03-17 03:28:00,2025-03-17 11:52:00,2025-03-17 12:28:00,2025-03-17 11:52 KST,2025-03-17 12:28 KST,425.67,-1,-425.67,29985.51,29985.51,480658.0699999999,480658.0699999999
ACTUSDT,Long,0.191 USDT,"209,561","40,116.78 USDT",-244.56 USDT,-0.61 %,03/17/2025 02:54 UTC,03/17/2025 06:24 UTC,0.18 % 0.19 USDT,-0.63 % 0.19 USDT,2025-03-17 02:54:00,2025-03-17 06:24:00,2025-03-17 11:54:00,2025-03-17 15:24:00,2025-03-17 11:54 KST,2025-03-17 15:24 KST,244.56,-1,-244.56,40116.78,40116.78,480413.5099999999,480413.5099999999
IDUSDT,Long,0.245 USDT,"207,682","50,839.32 USDT",248.95 USDT,0.49 %,03/17/2025 02:55 UTC,03/17/2025 09:43 UTC,3.35 % 0.25 USDT,-0.33 % 0.24 USDT,2025-03-17 02:55:00,2025-03-17 09:43:00,2025-03-17 11:55:00,2025-03-17 18:43:00,2025-03-17 11:55 KST,2025-03-17 18:43 KST,248.95,1,248.95,50839.32,50839.32,480662.4599999999,480662.4599999999
THEUSDT,Long,0.412 USDT,"48,554.1","20,002.66 USDT",261.45 USDT,1.31 %,03/17/2025 03:15 UTC,03/17/2025 03:29 UTC,3.16 % 0.42 USDT,-1.67 % 0.41 USDT,2025-03-17 03:15:00,2025-03-17 03:29:00,2025-03-17 12:15:00,2025-03-17 12:29:00,2025-03-17 12:15 KST,2025-03-17 12:29 KST,261.45,1,261.45,20002.66,20002.66,480923.9099999999,480923.9099999999
FARTCOINUSDT,Long,0.303 USDT,"170,468.4","51,695.33 USDT","1,203 USDT",2.33 %,03/17/2025 03:25 UTC,03/17/2025 09:15 UTC,5.49 % 0.32 USDT,-2.06 % 0.30 USDT,2025-03-17 03:25:00,2025-03-17 09:15:00,2025-03-17 12:25:00,2025-03-17 18:15:00,2025-03-17 12:25 KST,2025-03-17 18:15 KST,1203.0,1,1203.0,51695.33,51695.33,482126.9099999999,482126.9099999999
THEUSDT,Long,0.427 USDT,"124,902","53,375.89 USDT",-49.78 USDT,-0.09 %,03/17/2025 04:18 UTC,03/17/2025 10:22 UTC,5.91 % 0.45 USDT,-1.18 % 0.42 USDT,2025-03-17 04:18:00,2025-03-17 10:22:00,2025-03-17 13:18:00,2025-03-17 19:22:00,2025-03-17 13:18 KST,2025-03-17 19:22 KST,49.78,-1,-49.78,53375.89,53375.89,482077.1299999999,482077.1299999999
SHELLUSDT,Long,0.338 USDT,"266,311","89,919.96 USDT","-1,056.63 USDT",-1.18 %,03/17/2025 04:21 UTC,03/17/2025 09:14 UTC,6.80 % 0.36 USDT,-1.73 % 0.33 USDT,2025-03-17 04:21:00,2025-03-17 09:14:00,2025-03-17 13:21:00,2025-03-17 18:14:00,2025-03-17 13:21 KST,2025-03-17 18:14 KST,1056.63,-1,-1056.63,89919.96,89919.96,481020.4999999999,481020.4999999999
HEIUSDT,Long,0.564 USDT,177,99.85 USDT,-6.08 USDT,-6.09 %,03/17/2025 04:30 UTC,03/17/2025 09:15 UTC,0.43 % 0.57 USDT,-7.94 % 0.52 USDT,2025-03-17 04:30:00,2025-03-17 09:15:00,2025-03-17 13:30:00,2025-03-17 18:15:00,2025-03-17 13:30 KST,2025-03-17 18:15 KST,6.08,-1,-6.08,99.85,99.85,481014.41999999987,481014.41999999987
