time,capital
2024-11-15 02:11:00,139186.71421630043
2024-11-15 10:10:00,139186.71421630043
2024-11-16 00:08:00,147142.37584036324
2024-11-16 17:06:00,147102.78020336168
2024-11-18 11:28:00,147102.78020336168
2024-11-18 14:40:00,147102.78020336168
2024-11-18 18:52:00,147102.78020336168
2024-11-18 22:59:00,146852.29255192235
2024-11-19 01:02:00,148640.517717379
2024-11-19 01:11:00,148640.517717379
2024-11-19 01:47:00,148679.41081931678
2024-11-19 07:13:00,149294.56299436564
2024-11-19 08:01:00,149294.56299436564
2024-11-19 09:23:00,149385.36548659124
2024-11-20 13:07:00,149385.36548659124
2024-11-21 10:43:00,149385.36548659124
2024-11-21 21:33:00,149385.36548659124
2024-11-21 21:34:00,149385.36548659124
2024-11-22 00:11:00,149349.4100640873
