Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
TAOUSDT,Long,638.024 USDT,400,"255,209.56 USDT","9,656 USDT",3.78 %,12/05/2024 01:46 UTC,12/05/2024 06:20 UTC,8.14 % 689.99 USDT,-0.39 % 635.54 USDT,2024-12-05 01:46:00,2024-12-05 06:20:00,2024-12-05 10:46:00,2024-12-05 15:20:00,2024-12-05 10:46 KST,2024-12-05 15:20 KST,9656.0,1,9656.0,255209.56,255209.56,1358531.7999999998,1358531.7999999998
WLDUSDT,Long,3.2 USDT,"100,000","320,000.00 USDT","9,994 USDT",3.12 %,12/05/2024 01:48 UTC,12/05/2024 06:09 UTC,4.98 % 3.36 USDT,-0.91 % 3.17 USDT,2024-12-05 01:48:00,2024-12-05 06:09:00,2024-12-05 10:48:00,2024-12-05 15:09:00,2024-12-05 10:48 KST,2024-12-05 15:09 KST,9994.0,1,9994.0,320000.0,320000.0,1368525.7999999998,1368525.7999999998
SOLUSDT,Long,231.003 USDT,"13,500","3,118,543.45 USDT","-240,697.36 USDT",-7.72 %,12/05/2024 12:16 UTC,12/16/2024 12:46 UTC,6.11 % 245.12 USDT,-11.69 % 204.00 USDT,2024-12-05 12:16:00,2024-12-16 12:46:00,2024-12-05 21:16:00,2024-12-16 21:46:00,2024-12-05 21:16 KST,2024-12-16 21:46 KST,240697.36,-1,-240697.36,3118543.45,3118543.45,1127828.44,1127828.44
SUIUSDT,Long,4.19 USDT,"200,000","837,900.00 USDT","-10,670.16 USDT",-1.27 %,12/05/2024 13:51 UTC,12/05/2024 21:14 UTC,6.07 % 4.44 USDT,-2.71 % 4.08 USDT,2024-12-05 13:51:00,2024-12-05 21:14:00,2024-12-05 22:51:00,2024-12-06 06:14:00,2024-12-05 22:51 KST,2024-12-06 06:14 KST,10670.16,-1,-10670.16,837900.0,837900.0,1117158.28,1117158.28
ZROUSDT,Long,6.633 USDT,"11,307.1","74,999.99 USDT",-73.64 USDT,-0.10 %,12/06/2024 00:56 UTC,12/06/2024 01:02 UTC,0.38 % 6.66 USDT,-0.59 % 6.59 USDT,2024-12-06 00:56:00,2024-12-06 01:02:00,2024-12-06 09:56:00,2024-12-06 10:02:00,2024-12-06 09:56 KST,2024-12-06 10:02 KST,73.64,-1,-73.64,74999.99,74999.99,1117084.6400000001,1117084.6400000001
ONDOUSDT,Long,1.608 USDT,"813,733.4","1,279,078.28 USDT","323,796 USDT",25.31 %,12/09/2024 05:40 UTC,12/16/2024 10:07 UTC,24.89 % 2.01 USDT,-20.79 % 1.27 USDT,2024-12-09 05:40:00,2024-12-16 10:07:00,2024-12-09 14:40:00,2024-12-16 19:07:00,2024-12-09 14:40 KST,2024-12-16 19:07 KST,323796.0,1,323796.0,1279078.28,1279078.28,1440880.6400000001,1440880.6400000001
SUIUSDT,Long,3.835 USDT,"602,134.1","2,238,467.44 USDT","312,722 USDT",13.97 %,12/09/2024 16:33 UTC,12/16/2024 10:52 UTC,28.47 % 4.93 USDT,-10.28 % 3.44 USDT,2024-12-09 16:33:00,2024-12-16 10:52:00,2024-12-10 01:33:00,2024-12-16 19:52:00,2024-12-10 01:33 KST,2024-12-16 19:52 KST,312722.0,1,312722.0,2238467.44,2238467.44,1753602.6400000001,1753602.6400000001
MOVEUSDT,Short,1.085 USDT,"200,000","-216,969.59 USDT","7,840 USDT",3.61 %,12/10/2024 04:07 UTC,12/10/2024 04:11 UTC,2.06 % 1.06 USDT,,2024-12-10 04:07:00,2024-12-10 04:11:00,2024-12-10 13:07:00,2024-12-10 13:11:00,2024-12-10 13:07 KST,2024-12-10 13:11 KST,7840.0,1,7840.0,-216969.59,216969.59,1761442.6400000001,1761442.6400000001
BTCUSDT,Long,"95,656.238 USDT",15,"1,434,843.57 USDT","-11,662.73 USDT",-0.81 %,12/10/2024 17:03 UTC,12/10/2024 17:34 UTC,"0.26 % 95,904 USDT","-1.14 % 94,567 USDT",2024-12-10 17:03:00,2024-12-10 17:34:00,2024-12-11 02:03:00,2024-12-11 02:34:00,2024-12-11 02:03 KST,2024-12-11 02:34 KST,11662.73,-1,-11662.73,1434843.57,1434843.57,1749779.9100000001,1749779.9100000001
MEUSDT,Short,6.347 USDT,"29,410.1","186,658.70 USDT","-3,772.98 USDT",-2.02 %,12/11/2024 01:03 UTC,12/11/2024 01:08 UTC,,-1.75 % 6.46 USDT,2024-12-11 01:03:00,2024-12-11 01:08:00,2024-12-11 10:03:00,2024-12-11 10:08:00,2024-12-11 10:03 KST,2024-12-11 10:08 KST,3772.98,-1,-3772.98,186658.7,186658.7,1746006.9300000002,1746006.9300000002
