Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period,Period_Cumulative_PnL
LTCUSDT,Long,95.06 USDT,"1,500","142,590.00 USDT",-490.43 USDT,-0.34 %,07/15/2023 08:20 UTC,07/16/2023 07:56 UTC,0.62 % 95.65 USDT,-2.38 % 92.80 USDT,2023-07-15 08:20:00,2023-07-16 07:56:00,2023-07-15 17:20:00,2023-07-16 16:56:00,2023-07-15 17:20 KST,2023-07-16 16:56 KST,490.43,-1,-490.43,142590.0,142590.0,-52152.560000000005,1,-52152.560000000005
BTCUSDT,Short,"30,040.868 USDT",27,"811,103.43 USDT","-4,895.50 USDT",-0.60 %,07/17/2023 10:26 UTC,07/17/2023 11:12 UTC,,"-0.54 % 30,204 USDT",2023-07-17 10:26:00,2023-07-17 11:12:00,2023-07-17 19:26:00,2023-07-17 20:12:00,2023-07-17 19:26 KST,2023-07-17 20:12 KST,4895.5,-1,-4895.5,811103.43,811103.43,-57048.060000000005,1,-57048.060000000005
BTCUSDT,Short,"30,081.984 USDT",37.07,"-1,115,139.14 USDT","14,555 USDT",1.31 %,07/17/2023 12:21 UTC,07/20/2023 18:27 UTC,"1.40 % 29,667 USDT","-1.01 % 30,388 USDT",2023-07-17 12:21:00,2023-07-20 18:27:00,2023-07-17 21:21:00,2023-07-21 03:27:00,2023-07-17 21:21 KST,2023-07-21 03:27 KST,14555.0,1,14555.0,-1115139.14,1115139.14,-42493.060000000005,1,-42493.060000000005
ETHUSDT,Short,"1,917.12 USDT",206.907,"-396,665.45 USDT","6,242 USDT",1.57 %,07/20/2023 12:21 UTC,07/20/2023 18:28 UTC,"1.83 % 1,882 USDT","-0.18 % 1,920 USDT",2023-07-20 12:21:00,2023-07-20 18:28:00,2023-07-20 21:21:00,2023-07-21 03:28:00,2023-07-20 21:21 KST,2023-07-21 03:28 KST,6242.0,1,6242.0,-396665.45,396665.45,-36251.060000000005,1,-36251.060000000005
BTCUSDT,Long,"29,674.8 USDT",27,"801,219.60 USDT","5,789 USDT",0.72 %,07/20/2023 18:27 UTC,07/21/2023 19:08 UTC,"1.29 % 30,056 USDT","-0.69 % 29,468 USDT",2023-07-20 18:27:00,2023-07-21 19:08:00,2023-07-21 03:27:00,2023-07-22 04:08:00,2023-07-21 03:27 KST,2023-07-22 04:08 KST,5789.0,1,5789.0,801219.6,801219.6,-30462.060000000005,1,-30462.060000000005
BTCUSDT,Short,"29,040.004 USDT",17,"493,680.07 USDT","-4,559.56 USDT",-0.92 %,07/24/2023 09:50 UTC,07/24/2023 10:08 UTC,,"-0.85 % 29,290 USDT",2023-07-24 09:50:00,2023-07-24 10:08:00,2023-07-24 18:50:00,2023-07-24 19:08:00,2023-07-24 18:50 KST,2023-07-24 19:08 KST,4559.56,-1,-4559.56,493680.07,493680.07,-35021.62,1,-35021.62
BTCUSDT,Short,"29,361.105 USDT",57,"-1,673,583.00 USDT","21,562 USDT",1.29 %,07/24/2023 12:06 UTC,08/01/2023 16:07 UTC,"2.13 % 28,750 USDT","-0.93 % 29,637 USDT",2023-07-24 12:06:00,2023-08-01 16:07:00,2023-07-24 21:06:00,2023-08-02 01:07:00,2023-07-24 21:06 KST,2023-08-02 01:07 KST,21562.0,1,21562.0,-1673583.0,1673583.0,-13459.620000000003,1,-13459.620000000003
XRPUSDT,Short,0.699 USDT,"50,000","34,960.00 USDT",439.16 USDT,1.26 %,07/25/2023 14:35 UTC,08/01/2023 08:52 UTC,2.40 % 0.68 USDT,-4.07 % 0.73 USDT,2023-07-25 14:35:00,2023-08-01 08:52:00,2023-07-25 23:35:00,2023-08-01 17:52:00,2023-07-25 23:35 KST,2023-08-01 17:52 KST,439.16,1,439.16,34960.0,34960.0,-13020.460000000003,1,-13020.460000000003
BTCUSDT,Short,"29,158.268 USDT",57,"-1,662,021.30 USDT","-48,033.73 USDT",-2.89 %,08/01/2023 18:24 UTC,08/02/2023 01:33 UTC,"0.23 % 29,092 USDT","-2.75 % 29,982 USDT",2023-08-01 18:24:00,2023-08-02 01:33:00,2023-08-02 03:24:00,2023-08-02 10:33:00,2023-08-02 03:24 KST,2023-08-02 10:33 KST,48033.73,-1,-48033.73,-1662021.3,1662021.3,-61054.19,1,-61054.19
ETHUSDT,Short,"1,851.684 USDT",170,"314,786.21 USDT","-1,237.49 USDT",-0.39 %,08/01/2023 19:16 UTC,08/02/2023 10:39 UTC,"0.27 % 1,846 USDT","-1.35 % 1,877 USDT",2023-08-01 19:16:00,2023-08-02 10:39:00,2023-08-02 04:16:00,2023-08-02 19:39:00,2023-08-02 04:16 KST,2023-08-02 19:39 KST,1237.49,-1,-1237.49,314786.21,314786.21,-62291.68,1,-62291.68
BTCUSDT,Short,"29,802.698 USDT",57.5,"-1,713,655.13 USDT","15,956 USDT",0.93 %,08/02/2023 02:52 UTC,08/02/2023 10:38 UTC,"1.34 % 29,409 USDT",,2023-08-02 02:52:00,2023-08-02 10:38:00,2023-08-02 11:52:00,2023-08-02 19:38:00,2023-08-02 11:52 KST,2023-08-02 19:38 KST,15956.0,1,15956.0,-1713655.13,1713655.13,-46335.68,1,-46335.68
BTCUSDT,Short,"29,261.096 USDT",37,"-1,082,660.56 USDT","2,940 USDT",0.27 %,08/02/2023 15:02 UTC,08/02/2023 21:36 UTC,"0.89 % 29,002 USDT","-0.27 % 29,339 USDT",2023-08-02 15:02:00,2023-08-02 21:36:00,2023-08-03 00:02:00,2023-08-03 06:36:00,2023-08-03 00:02 KST,2023-08-03 06:36 KST,2940.0,1,2940.0,-1082660.56,1082660.56,-43395.68,1,-43395.68
BTCUSDT,Long,"29,126.1 USDT",37,"1,077,665.70 USDT","-4,582.22 USDT",-0.43 %,08/02/2023 23:36 UTC,08/03/2023 07:28 UTC,"0.50 % 29,273 USDT","-0.42 % 29,005 USDT",2023-08-02 23:36:00,2023-08-03 07:28:00,2023-08-03 08:36:00,2023-08-03 16:28:00,2023-08-03 08:36 KST,2023-08-03 16:28 KST,4582.22,-1,-4582.22,1077665.7,1077665.7,-47977.9,1,-47977.9
BTCUSDT,Long,"29,055 USDT",57,"1,656,135.00 USDT","14,420 USDT",0.87 %,08/03/2023 07:37 UTC,08/03/2023 15:16 UTC,"1.33 % 29,440 USDT","-0.34 % 28,955 USDT",2023-08-03 07:37:00,2023-08-03 15:16:00,2023-08-03 16:37:00,2023-08-04 00:16:00,2023-08-03 16:37 KST,2023-08-04 00:16 KST,14420.0,1,14420.0,1656135.0,1656135.0,-33557.9,1,-33557.9
BTCUSDT,Long,"29,065 USDT",37,"1,075,405.00 USDT","-9,012.13 USDT",-0.84 %,08/04/2023 19:33 UTC,08/07/2023 16:01 UTC,"0.54 % 29,220 USDT","-1.16 % 28,728 USDT",2023-08-04 19:33:00,2023-08-07 16:01:00,2023-08-05 04:33:00,2023-08-08 01:01:00,2023-08-05 04:33 KST,2023-08-08 01:01 KST,9012.13,-1,-9012.13,1075405.0,1075405.0,-42570.03,1,-42570.03
BTCUSDT,Long,"29,653.766 USDT",57,"1,690,264.68 USDT","-11,548.38 USDT",-0.68 %,08/08/2023 13:04 UTC,08/08/2023 13:33 UTC,,"-0.80 % 29,415 USDT",2023-08-08 13:04:00,2023-08-08 13:33:00,2023-08-08 22:04:00,2023-08-08 22:33:00,2023-08-08 22:04 KST,2023-08-08 22:33 KST,11548.38,-1,-11548.38,1690264.68,1690264.68,-54118.409999999996,1,-54118.409999999996
BTCUSDT,Short,"29,707.915 USDT",60,"-1,782,474.91 USDT","7,465 USDT",0.42 %,08/08/2023 16:23 UTC,08/09/2023 17:13 UTC,"0.71 % 29,499 USDT","-1.39 % 30,126 USDT",2023-08-08 16:23:00,2023-08-09 17:13:00,2023-08-09 01:23:00,2023-08-10 02:13:00,2023-08-09 01:23 KST,2023-08-10 02:13 KST,7465.0,1,7465.0,-1782474.91,1782474.91,-46653.409999999996,1,-46653.409999999996
BTCUSDT,Long,"29,419.649 USDT",57,"1,676,919.99 USDT","2,324 USDT",0.14 %,08/09/2023 20:27 UTC,08/14/2023 18:00 UTC,"0.91 % 29,686 USDT","-1.19 % 29,070 USDT",2023-08-09 20:27:00,2023-08-14 18:00:00,2023-08-10 05:27:00,2023-08-15 03:00:00,2023-08-10 05:27 KST,2023-08-15 03:00 KST,2324.0,1,2324.0,1676919.99,1676919.99,-44329.409999999996,1,-44329.409999999996
MKRUSDT,Long,"1,239.997 USDT",209.411,"259,668.94 USDT","1,455 USDT",0.56 %,08/10/2023 05:06 UTC,08/10/2023 17:58 UTC,"2.44 % 1,270 USDT","-0.50 % 1,233 USDT",2023-08-10 05:06:00,2023-08-10 17:58:00,2023-08-10 14:06:00,2023-08-11 02:58:00,2023-08-10 14:06 KST,2023-08-11 02:58 KST,1455.0,1,1455.0,259668.94,259668.94,-42874.409999999996,1,-42874.409999999996
GMXUSDT,Long,44.315 USDT,"4,336.72","195,439.80 USDT","-14,158.83 USDT",-7.24 %,08/11/2023 16:12 UTC,08/16/2023 20:29 UTC,7.80 % 47.77 USDT,-13.91 % 38.15 USDT,2023-08-11 16:12:00,2023-08-16 20:29:00,2023-08-12 01:12:00,2023-08-17 05:29:00,2023-08-12 01:12 KST,2023-08-17 05:29 KST,14158.83,-1,-14158.83,195439.8,195439.8,-57033.24,1,-57033.24
