period,time,start_capital,end_capital,change,change_pct,cumulative_max,drawdown,year_month
222,2024-11-22 00:11:00,143186.21200669374,143146.9797191832,-39.23228751053102,-0.02739948697622993,143186.21200669374,-0.02739948697622993,2024-11
223,2024-11-22 00:12:00,143146.9797191832,142991.41456603157,-155.56515315163415,-0.1086751208141535,143186.21200669374,-0.13604483136480955,2024-11
224,2024-11-22 01:50:00,142991.41456603157,142991.41456603157,0.0,0.0,143186.21200669374,-0.13604483136480955,2024-11
225,2024-11-22 04:00:00,142991.41456603157,142991.41456603157,0.0,0.0,143186.21200669374,-0.13604483136480955,2024-11
226,2024-11-22 04:01:00,142991.41456603157,142991.41456603157,0.0,0.0,143186.21200669374,-0.13604483136480955,2024-11
227,2024-11-22 04:02:00,142991.41456603157,142991.41456603157,0.0,0.0,143186.21200669374,-0.13604483136480955,2024-11
228,2024-11-22 04:03:00,142991.41456603157,142991.31819208714,-0.09637394442688674,-6.739841319800533e-05,143186.21200669374,-0.13611213808595,2024-11
229,2024-11-22 04:39:00,142991.31819208714,142712.8486807169,-278.4695113702328,-0.19474574742793213,143186.21200669374,-0.3305928129132265,2024-11
230,2024-11-22 20:24:00,142712.8486807169,142712.8486807169,0.0,0.0,143186.21200669374,-0.3305928129132265,2024-11
231,2024-11-22 22:05:00,142712.8486807169,142712.8486807169,0.0,0.0,143186.21200669374,-0.3305928129132265,2024-11
232,2024-11-22 22:26:00,142712.8486807169,142416.60759719842,-296.24108351848554,-0.2075784249680618,143186.21200669374,-0.5374849985271853,2024-11
233,2024-11-22 23:56:00,142416.60759719842,142179.57720185234,-237.0303953460825,-0.16643451865984857,143186.21200669374,-0.7030249566168664,2024-11
234,2024-11-22 23:58:00,142179.57720185234,142095.92761025165,-83.64959160069702,-0.058833760267791274,143186.21200669374,-0.7614451008670589,2024-11
235,2024-11-23 17:20:00,142095.92761025165,142095.92761025165,0.0,0.0,143186.21200669374,-0.7614451008670589,2024-11
236,2024-11-23 17:29:00,142095.92761025165,142095.92761025165,0.0,0.0,143186.21200669374,-0.7614451008670589,2024-11
237,2024-11-23 19:18:00,142095.92761025165,142095.92761025165,0.0,0.0,143186.21200669374,-0.7614451008670589,2024-11
238,2024-11-24 00:26:00,142095.92761025165,142095.92761025165,0.0,0.0,143186.21200669374,-0.7614451008670589,2024-11
239,2024-11-24 01:16:00,142095.92761025165,141986.15575939824,-109.7718508534017,-0.07725193304236687,143186.21200669374,-0.8381088028499496,2024-11
240,2024-11-24 01:20:00,141986.15575939824,141807.06978340357,-179.08597599467612,-0.1261291814239588,143186.21200669374,-0.9631808845014316,2024-11
241,2024-11-24 06:44:00,141807.06978340357,141807.06978340357,0.0,0.0,143186.21200669374,-0.9631808845014316,2024-11
242,2024-11-24 20:18:00,141807.06978340357,141598.43903281537,-208.6307505881996,-0.14712295438221992,143186.21200669374,-1.1088867787103283,2024-11
243,2024-11-24 20:33:00,141598.43903281537,141528.85262870524,-69.58640411013039,-0.04914348250265935,143186.21200669374,-1.1574853156329177,2024-11
244,2024-11-24 21:33:00,141528.85262870524,140962.25789677977,-566.5947319254628,-0.40033867398889994,143186.21200669374,-1.5531901282575966,2024-11
245,2024-11-24 22:26:00,140962.25789677977,140962.25789677977,0.0,0.0,143186.21200669374,-1.5531901282575966,2024-11
246,2024-11-24 22:30:00,140962.25789677977,140962.25789677977,0.0,0.0,143186.21200669374,-1.5531901282575966,2024-11
247,2024-11-25 00:16:00,140962.25789677977,140962.25789677977,0.0,0.0,143186.21200669374,-1.5531901282575966,2024-11
248,2024-11-25 09:06:00,140962.25789677977,140962.25789677977,0.0,0.0,143186.21200669374,-1.5531901282575966,2024-11
249,2024-11-25 10:20:00,140962.25789677977,140962.25789677977,0.0,0.0,143186.21200669374,-1.5531901282575966,2024-11
250,2024-11-25 10:25:00,140962.25789677977,148588.86318226153,7626.6052854817535,5.4103881416729065,148588.86318226153,0.0,2024-11
251,2024-11-25 10:43:00,148588.86318226153,148588.8462042774,-0.01697798413806595,-1.1426148484116523e-05,148588.86318226153,-1.1426148484116523e-05,2024-11
252,2024-11-25 11:51:00,148588.8462042774,148588.8462042774,0.0,0.0,148588.86318226153,-1.1426148484116523e-05,2024-11
253,2024-11-25 13:30:00,148588.8462042774,148599.66397618572,10.817771908332361,0.007280339126841509,148599.66397618572,0.0,2024-11
254,2024-11-25 20:53:00,148599.66397618572,148245.3108185031,-354.35315768263536,-0.2384616143811895,148599.66397618572,-0.2384616143811895,2024-11
255,2024-11-25 22:11:00,148245.3108185031,148522.08055455238,276.76973604928935,0.1866971268913449,148599.66397618572,-0.05220968847263299,2024-11
256,2024-11-25 22:14:00,148522.08055455238,147996.31415313692,-525.766401415458,-0.35399881246771464,148599.66397618572,-0.4060236792631614,2024-11
257,2024-11-25 22:27:00,147996.31415313692,147589.23151440528,-407.0826387316338,-0.27506268724396155,148599.66397618572,-0.6799695468640948,2024-11
258,2024-11-25 22:29:00,147589.23151440528,147589.23151440528,0.0,0.0,148599.66397618572,-0.6799695468640948,2024-11
259,2024-11-25 22:59:00,147589.23151440528,147527.85079132405,-61.3807230812381,-0.04158888995586856,148599.66397618572,-0.7212756450333847,2024-11
260,2024-11-26 01:17:00,147527.85079132405,147527.85079132405,0.0,0.0,148599.66397618572,-0.7212756450333847,2024-11
261,2024-11-26 01:27:00,147527.85079132405,147527.85079132405,0.0,0.0,148599.66397618572,-0.7212756450333847,2024-11
262,2024-11-26 01:28:00,147527.85079132405,147527.85079132405,0.0,0.0,148599.66397618572,-0.7212756450333847,2024-11
263,2024-11-26 02:44:00,147527.85079132405,146849.68227975612,-678.1685115679284,-0.4596884641986601,148599.66397618572,-1.177648488296752,2024-11
264,2024-11-26 02:46:00,146849.68227975612,146342.34517397586,-507.33710578025784,-0.34548056073676403,148599.66397618572,-1.5190605024326402,2024-11
265,2024-11-26 02:47:00,146342.34517397586,146192.05014987677,-150.29502409909037,-0.10270098099112424,148599.66397618572,-1.6202013933859176,2024-11
266,2024-11-26 02:55:00,146192.05014987677,146187.74527415467,-4.304875722096767,-0.0029446715588729955,148599.66397618572,-1.623098355335163,2024-11
267,2024-11-26 02:56:00,146187.74527415467,146186.51899755828,-1.2262765963969287,-0.0008388367944913702,148599.66397618572,-1.6239235769834393,2024-11
268,2024-11-26 08:00:00,146186.51899755828,146186.51899755828,0.0,0.0,148599.66397618572,-1.6239235769834393,2024-11
269,2024-11-26 09:20:00,146186.51899755828,163773.3372041,17586.818206541735,12.03039673366563,163773.3372041,0.0,2024-11
270,2024-11-26 09:38:00,163773.3372041,163802.0818017157,28.744597615703242,0.017551451357360283,163802.0818017157,0.0,2024-11
271,2024-11-26 20:28:00,163802.0818017157,163802.0818017157,0.0,0.0,163802.0818017157,0.0,2024-11
272,2024-11-26 23:30:00,163802.0818017157,163802.0818017157,0.0,0.0,163802.0818017157,0.0,2024-11
273,2024-11-27 00:57:00,163802.0818017157,163802.0818017157,0.0,0.0,163802.0818017157,0.0,2024-11
274,2024-11-27 00:59:00,163802.0818017157,164477.22309955396,675.1412978382432,0.412168936079524,164477.22309955396,0.0,2024-11
275,2024-11-27 01:11:00,164477.22309955396,164477.22309955396,0.0,0.0,164477.22309955396,0.0,2024-11
276,2024-11-27 01:12:00,164477.22309955396,164477.22309955396,0.0,0.0,164477.22309955396,0.0,2024-11
277,2024-11-27 03:34:00,164477.22309955396,164379.92037969964,-97.30271985431318,-0.059158780784752354,164477.22309955396,-0.059158780784752354,2024-11
278,2024-11-27 03:35:00,164379.92037969964,164193.26797773852,-186.65240196112427,-0.1135493930949581,164477.22309955396,-0.17264099944316696,2024-11
