Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period_Cumulative_PnL
AAVEUSDT,Long,206.62 USDT,73.19,"15,122.52 USDT",949.92 USDT,6.28 %,03/03/2025 10:00 UTC,03/05/2025 20:47 UTC,9.60 % 226.46 USDT,-19.08 % 167.19 USDT,2025-03-03 10:00:00,2025-03-05 20:47:00,2025-03-03 19:00:00,2025-03-06 05:47:00,2025-03-03 19:00 KST,2025-03-06 05:47 KST,949.92,1,949.92,15122.52,15122.52,1030499.8500000001,1030499.8500000001
BTCUSDT,Long,"85,346 USDT",51.971,"4,435,480.27 USDT","-358,511.73 USDT",-8.08 %,03/07/2025 00:46 UTC,03/10/2025 18:54 UTC,"6.73 % 91,086 USDT","-8.23 % 78,321 USDT",2025-03-07 00:46:00,2025-03-10 18:54:00,2025-03-07 09:46:00,2025-03-11 03:54:00,2025-03-07 09:46 KST,2025-03-11 03:54 KST,358511.73,-1,-358511.73,4435480.27,4435480.27,671988.1200000001,671988.1200000001
XRPUSDT,Long,2.414 USDT,"3,236","7,813.00 USDT",211.59 USDT,2.71 %,03/07/2025 00:54 UTC,03/07/2025 03:36 UTC,4.50 % 2.52 USDT,-1.09 % 2.39 USDT,2025-03-07 00:54:00,2025-03-07 03:36:00,2025-03-07 09:54:00,2025-03-07 12:36:00,2025-03-07 09:54 KST,2025-03-07 12:36 KST,211.59,1,211.59,7813.0,7813.0,672199.7100000001,672199.7100000001
SOLUSDT,Long,137 USDT,154.09,"21,110.33 USDT",452.64 USDT,2.14 %,03/07/2025 00:54 UTC,03/07/2025 01:54 UTC,3.45 % 141.73 USDT,-1.52 % 134.92 USDT,2025-03-07 00:54:00,2025-03-07 01:54:00,2025-03-07 09:54:00,2025-03-07 10:54:00,2025-03-07 09:54 KST,2025-03-07 10:54 KST,452.64,1,452.64,21110.33,21110.33,672652.3500000001,672652.3500000001
ETHUSDT,Long,"2,126.7 USDT",19.262,"40,964.92 USDT",808.45 USDT,1.97 %,03/07/2025 00:54 UTC,03/07/2025 01:54 UTC,"2.99 % 2,190 USDT","-0.90 % 2,107 USDT",2025-03-07 00:54:00,2025-03-07 01:54:00,2025-03-07 09:54:00,2025-03-07 10:54:00,2025-03-07 09:54 KST,2025-03-07 10:54 KST,808.45,1,808.45,40964.92,40964.92,673460.8,673460.8
ADAUSDT,Long,0.837 USDT,"9,229","7,722.64 USDT",158.76 USDT,2.06 %,03/07/2025 00:54 UTC,03/07/2025 03:36 UTC,3.67 % 0.87 USDT,-2.29 % 0.82 USDT,2025-03-07 00:54:00,2025-03-07 03:36:00,2025-03-07 09:54:00,2025-03-07 12:36:00,2025-03-07 09:54 KST,2025-03-07 12:36 KST,158.76,1,158.76,7722.64,7722.64,673619.56,673619.56
ETHUSDT,Long,"2,079.8 USDT",100,"207,980.00 USDT","-7,715.72 USDT",-3.71 %,03/07/2025 05:50 UTC,03/10/2025 16:24 UTC,"3.62 % 2,155 USDT","-4.43 % 1,987 USDT",2025-03-07 05:50:00,2025-03-10 16:24:00,2025-03-07 14:50:00,2025-03-11 01:24:00,2025-03-07 14:50 KST,2025-03-11 01:24 KST,7715.72,-1,-7715.72,207980.0,207980.0,665903.8400000001,665903.8400000001
TRUMPUSDT,Long,13.188 USDT,378.7,"4,994.30 USDT",-337.34 USDT,-6.75 %,03/07/2025 12:29 UTC,03/07/2025 23:11 UTC,0.77 % 13.29 USDT,-6.82 % 12.29 USDT,2025-03-07 12:29:00,2025-03-07 23:11:00,2025-03-07 21:29:00,2025-03-08 08:11:00,2025-03-07 21:29 KST,2025-03-08 08:11 KST,337.34,-1,-337.34,4994.3,4994.3,665566.5000000001,665566.5000000001
BTCUSDT,Long,"82,866 USDT",63.506,"5,284,915.80 USDT","106,178 USDT",2.01 %,03/11/2025 19:09 UTC,03/24/2025 11:10 UTC,"5.51 % 87,429 USDT","-3.58 % 79,902 USDT",2025-03-11 19:09:00,2025-03-24 11:10:00,2025-03-12 04:09:00,2025-03-24 20:10:00,2025-03-12 04:09 KST,2025-03-24 20:10 KST,106178.0,1,106178.0,5284915.8,5284915.8,771744.5000000001,771744.5000000001
ETHUSDT,Long,"1,911.1 USDT",16.84,"32,182.73 USDT",137.63 USDT,0.43 %,03/12/2025 07:40 UTC,03/12/2025 09:10 UTC,"3.08 % 1,970 USDT","-2.03 % 1,872 USDT",2025-03-12 07:40:00,2025-03-12 09:10:00,2025-03-12 16:40:00,2025-03-12 18:10:00,2025-03-12 16:40 KST,2025-03-12 18:10 KST,137.63,1,137.63,32182.73,32182.73,771882.1300000001,771882.1300000001
